1,N-Z,N,Z,A,EL,MASS EXCESS (keV),MASS EXCESS ERROR (keV),BINDING ENERGY (keV),BINDING ENERGY ERROR (keV),ATOMIC MASS (u),ATOMIC MASS ERROR(u)
,2,22,20,42,Ca,-38547.245,0.149,8616.563,0.004,41.95861783,0.000000159
,0,21,21,42,Sc,-32121.153,0.169,8444.933,0.004,41.96551652,0.000000181
,-2,20,22,42,Ti,-25104.674,0.277,8259.247,0.007,41.97304902,0.000000297
,-4,19,23,42,V,-7620#,196#,7824#,5#,#VALUE!,#VALUE!
,-6,18,24,42,Cr,6730#,400#,7464#,10#,#VALUE!,#VALUE!
0,17,30,13,43,Al,47020#,800#,6741#,19#,#VALUE!,#VALUE!
,15,29,14,43,Si,23101#,596#,7279#,14#,#VALUE!,#VALUE!
,13,28,15,43,P,4679.826,554.705,7689.572,12.9,43.005024,0.0005955
,11,27,16,43,S,-12195.459,4.97,8063.827,0.116,42.98690764,0.000005335
,9,26,17,43,Cl,-24159.508,61.858,8323.866,1.439,42.9740637,0.000066407
,7,25,18,43,Ar,-32009.808,5.31,8488.237,0.123,42.96563606,0.0000057
,5,24,19,43,K,-36575.389,0.41,8576.22,0.01,42.9607347,0.00000044
,3,23,20,43,Ca,-38408.822,0.228,8600.663,0.005,42.95876643,0.000000244
,1,22,21,43,Sc,-36188.102,1.863,8530.825,0.043,42.96115047,0.000001999
,-1,21,22,43,Ti,-29321.082,7.245,8352.932,0.168,42.96852252,0.000007777
,-3,20,23,43,V,-17916.356,42.849,8069.512,0.996,42.980766,0.000046
,-5,19,24,43,Cr,-1970#,400#,7680#,9#,#VALUE!,#VALUE!
0,16,30,14,44,Si,28513#,596#,7174#,14#,#VALUE!,#VALUE!
,14,29,15,44,P,10450#,500#,7567#,11#,#VALUE!,#VALUE!
,12,28,16,44,S,-9204.233,5.216,7996.015,0.119,43.99011885,0.0000056
,10,27,17,44,Cl,-20384.523,136.321,8232.332,3.098,43.97811631,0.000146346
,8,26,18,44,Ar,-32673.255,1.584,8493.84,0.036,43.96492382,0.0000017
,6,25,19,44,K,-35781.492,0.419,8546.701,0.01,43.96158699,0.00000045
,4,24,20,44,Ca,-41468.675,0.325,8658.175,0.007,43.95548154,0.000000348
,2,23,21,44,Sc,-37815.985,1.756,8557.379,0.04,43.95940287,0.000001884
,0,22,22,44,Ti,-37548.569,0.7,8533.52,0.016,43.95968995,0.000000751
,-2,21,23,44,V,-24116.38,181.641,8210.463,4.128,43.97411,0.000195
,-4,20,24,44,Cr,-13360#,300#,7948#,7#,#VALUE!,#VALUE!
,-6,19,25,44,Mn,7030#,500#,7467#,11#,#VALUE!,#VALUE!
0,17,31,14,45,Si,37490#,700#,6995#,16#,#VALUE!,#VALUE!
,15,30,15,45,P,15600#,500#,7464#,11#,#VALUE!,#VALUE!
,13,29,16,45,S,-3989.589,1035.356,7881.807,23.008,44.995717,0.0011115
,11,28,17,45,Cl,-18262.543,136.163,8181.598,3.026,44.98039435,0.000146177
,9,27,18,45,Ar,-29770.796,0.512,8419.952,0.011,44.96803973,0.00000055
,7,26,19,45,K,-36615.638,0.522,8554.674,0.012,44.96069149,0.00000056
,5,25,20,45,Ca,-40812.174,0.366,8630.545,0.008,44.95618633,0.000000392
,3,24,21,45,Sc,-41071.896,0.675,8618.931,0.015,44.9559075,0.000000724
,1,23,22,45,Ti,-39009.84,0.845,8555.722,0.019,44.95812121,0.000000907
,-1,22,23,45,V,-31886.016,0.872,8380.029,0.019,44.96576895,0.000000935
,-3,21,24,45,Cr,-19514.799,35.397,8087.728,0.787,44.97905,0.000038
,-5,20,25,45,Mn,-5250#,400#,7753#,9#,#VALUE!,#VALUE!
,-7,19,26,45,Fe,13762#,400#,7313#,9#,#VALUE!,#VALUE!
0,16,31,15,46,P,22970#,700#,7317#,15#,#VALUE!,#VALUE!
,14,30,16,46,S,340#,500#,7792#,11#,#VALUE!,#VALUE!
,12,29,17,46,Cl,-13859.398,208.661,8083.48,4.536,45.98512132,0.000224006
,10,28,18,46,Ar,-29772.926,1.118,8412.419,0.024,45.96803745,0.0000012
,8,27,19,46,K,-35413.924,0.727,8518.042,0.016,45.96198159,0.00000078
,6,26,20,46,Ca,-43139.361,2.235,8668.979,0.049,45.95368799,0.000002399
,4,25,21,46,Sc,-41761.219,0.683,8622.012,0.015,45.95516749,0.000000732
,2,24,22,46,Ti,-44127.799,0.165,8656.451,0.004,45.95262686,0.000000176
,0,23,23,46,V,-37075.351,0.202,8486.13,0.004,45.96019797,0.000000216
,-2,22,24,46,Cr,-29471.567,11.453,8303.823,0.249,45.96836097,0.000012295
,-4,21,25,46,Mn,-12570#,400#,7919#,9#,#VALUE!,#VALUE!
,-6,20,26,46,Fe,910#,500#,7609#,11#,#VALUE!,#VALUE!
0,17,32,15,47,P,29710#,800#,7190#,17#,#VALUE!,#VALUE!
,15,31,16,47,S,7370#,500#,7648#,11#,#VALUE!,#VALUE!
,13,30,17,47,Cl,-9780#,400#,7996#,9#,#VALUE!,#VALUE!
,11,29,18,47,Ar,-25366.338,1.118,8311.404,0.024,46.97276811,0.0000012
,9,28,19,47,K,-35711.976,1.397,8514.879,0.03,46.96166161,0.0000015
,7,27,20,47,Ca,-42344.418,2.222,8639.349,0.047,46.95454139,0.000002385
,5,26,21,47,Sc,-44336.595,1.933,8665.09,0.041,46.9524027,0.000002074
,3,25,22,47,Ti,-44937.364,0.115,8661.227,0.002,46.95175775,0.000000123
,1,24,23,47,V,-42006.618,0.169,8582.225,0.004,46.95490404,0.000000181
,-1,23,24,47,Cr,-34562.578,6.03,8407.195,0.128,46.96289554,0.000006473
,-3,22,25,47,Mn,-22566.374,31.671,8135.311,0.674,46.975774,0.000034
,-5,21,26,47,Fe,-6870#,500#,7785#,11#,#VALUE!,#VALUE!
,-7,20,27,47,Co,10370#,600#,7401#,13#,#VALUE!,#VALUE!
0,16,32,16,48,S,12761#,596#,7545#,12#,#VALUE!,#VALUE!
,14,31,17,48,Cl,-4280#,500#,7883#,10#,#VALUE!,#VALUE!
,12,30,18,48,Ar,-22281.337,307.393,8242.132,6.404,47.97608,0.00033
,10,29,19,48,K,-32284.477,0.773,8434.232,0.016,47.96534119,0.00000083
,8,28,20,48,Ca,-44224.629,0.096,8666.686,0.002,47.9525229,0.000000103
,6,27,21,48,Sc,-44503.842,4.951,8656.204,0.103,47.95222316,0.000005314
,4,26,22,48,Ti,-48492.709,0.109,8723.006,0.002,47.94794093,0.000000117
,2,25,23,48,V,-44477.694,0.975,8623.061,0.02,47.95225123,0.000001046
,0,24,24,48,Cr,-42822.02,7.324,8572.269,0.153,47.95402867,0.000007862
,-2,23,25,48,Mn,-29296.338,6.939,8274.185,0.145,47.96854909,0.000007449
,-4,22,26,48,Fe,-18000#,400#,8023#,8#,#VALUE!,#VALUE!
,-6,21,27,48,Co,1500#,500#,7600#,10#,#VALUE!,#VALUE!
,-8,20,28,48,Ni,16793#,502#,7265#,10#,#VALUE!,#VALUE!
0,17,33,16,49,S,21093#,667#,7385#,14#,#VALUE!,#VALUE!
,15,32,17,49,Cl,940#,600#,7781#,12#,#VALUE!,#VALUE!
,13,31,18,49,Ar,-17190#,400#,8135#,8#,#VALUE!,#VALUE!
,11,30,19,49,K,-29611.49,0.801,8372.274,0.016,48.96821076,0.00000086
,9,29,20,49,Ca,-41299.765,0.201,8594.844,0.004,48.95566288,0.000000216
,7,28,21,49,Sc,-46561.265,2.698,8686.256,0.055,48.95001442,0.000002896
,5,27,22,49,Ti,-48563.787,0.114,8711.157,0.002,48.94786463,0.000000122
,3,26,23,49,V,-47961.931,0.828,8682.908,0.017,48.94851075,0.000000889
,1,25,24,49,Cr,-45333.06,2.243,8613.291,0.046,48.95133296,0.000002407
,-1,24,25,49,Mn,-37620.634,2.255,8439.929,0.046,48.95961259,0.00000242
,-3,23,26,49,Fe,-24750.727,24.219,8161.311,0.494,48.973429,0.000026
,-5,22,27,49,Co,-9880#,500#,7842#,10#,#VALUE!,#VALUE!
,-7,21,28,49,Ni,8200#,600#,7457#,12#,#VALUE!,#VALUE!
0,16,33,17,50,Cl,7740#,600#,7651#,12#,#VALUE!,#VALUE!
,14,32,18,50,Ar,-13330#,500#,8056#,10#,#VALUE!,#VALUE!
,12,31,19,50,K,-25727.848,7.731,8288.582,0.155,49.97238002,0.0000083
,10,30,20,50,Ca,-39589.224,1.584,8550.163,0.032,49.95749922,0.0000017
,8,29,21,50,Sc,-44547.382,15,8633.679,0.3,49.95217642,0.000016103
,6,28,22,50,Ti,-51431.66,0.121,8755.718,0.002,49.94478584,0.000000129
,4,27,23,50,V,-49224.013,0.409,8695.918,0.008,49.94715585,0.000000438
,2,26,24,50,Cr,-50262.072,0.437,8701.032,0.009,49.94604144,0.000000468
,0,25,25,50,Mn,-42627.595,0.442,8532.696,0.009,49.95423739,0.000000474
,-2,24,26,50,Fe,-34476.456,8.383,8354.026,0.168,49.962988,0.000009
,-4,23,27,50,Co,-17630#,400#,8001#,8#,#VALUE!,#VALUE!
,-6,22,28,50,Ni,-4120#,500#,7716#,10#,#VALUE!,#VALUE!
0,17,34,17,51,Cl,14290#,700#,7530#,14#,#VALUE!,#VALUE!
,15,33,18,51,Ar,-6690#,600#,7926#,12#,#VALUE!,#VALUE!
,13,32,19,51,K,-22516.196,13.047,8221.349,0.256,50.97582787,0.000014006
,11,31,20,51,Ca,-36332.304,0.522,8476.913,0.01,50.96099567,0.00000056
,9,30,21,51,Sc,-43228.684,20,8596.796,0.392,50.9535921,0.000021471
,7,29,22,51,Ti,-49732.837,0.505,8708.988,0.01,50.9466096,0.000000541
,5,28,23,51,V,-52203.842,0.401,8742.099,0.008,50.94395687,0.00000043
,3,27,24,51,Cr,-51451.395,0.4,8712.005,0.008,50.94476465,0.000000429
,1,26,25,51,Mn,-48243.877,0.502,8633.772,0.01,50.94820807,0.000000539
,-1,25,26,51,Fe,-40202.555,8.964,8460.759,0.176,50.95684078,0.000009623
,-3,24,27,51,Co,-27342.143,48.438,8193.254,0.95,50.970647,0.000052
,-5,23,28,51,Ni,-11900#,500#,7875#,10#,#VALUE!,#VALUE!
0,16,34,18,52,Ar,-1280#,600#,7825#,12#,#VALUE!,#VALUE!
,14,33,19,52,K,-17137.627,33.534,8115.029,0.645,51.981602,0.000036
,12,32,20,52,Ca,-34266.266,0.671,8429.381,0.013,51.96321365,0.00000072
,10,31,21,52,Sc,-40443.279,81.852,8533.125,1.574,51.95658235,0.000087871
,8,30,22,52,Ti,-49469.82,7.072,8691.667,0.136,51.94689196,0.000007592
,6,29,23,52,V,-51443.769,0.42,8714.582,0.008,51.94477284,0.00000045
,4,28,24,52,Cr,-55419.242,0.34,8775.989,0.007,51.94050499,0.000000364
,2,27,25,52,Mn,-50707.284,1.845,8670.329,0.035,51.94556349,0.00000198
,0,26,26,52,Fe,-48330.363,5.117,8609.574,0.098,51.94811522,0.000005493
,-2,25,27,52,Co,-34360.951,8.383,8325.886,0.161,51.963112,0.000009
,-4,24,28,52,Ni,-22330#,400#,8079#,8#,#VALUE!,#VALUE!
,-6,23,29,52,Cu,-2280#,600#,7679#,12#,#VALUE!,#VALUE!
0,17,35,18,53,Ar,6791#,699#,7677#,13#,#VALUE!,#VALUE!
,15,34,19,53,K,-12295.721,111.779,8022.848,2.109,52.9868,0.00012
,13,33,20,53,Ca,-29387.704,43.78,8330.577,0.826,52.968451,0.000047
,11,32,21,53,Sc,-38906.808,94.087,8495.421,1.775,52.95823182,0.000101006
,9,31,22,53,Ti,-46831.061,100.049,8630.174,1.888,52.94972479,0.000107406
,7,30,23,53,V,-51851.061,3.12,8710.13,0.059,52.94433559,0.000003349
,5,29,24,53,Cr,-55286.999,0.348,8760.198,0.007,52.94064696,0.000000373
,3,28,25,53,Mn,-54690.116,0.45,8734.175,0.009,52.94128774,0.000000483
,1,27,26,53,Fe,-50947.53,1.656,8648.799,0.031,52.94530557,0.000001777
,-1,26,27,53,Co,-42659.428,1.713,8477.658,0.032,52.95420322,0.000001839
,-3,25,28,53,Ni,-29630.824,25.15,8217.074,0.475,52.96819,0.000027
,-5,24,29,53,Cu,-13270#,500#,7894#,9#,#VALUE!,#VALUE!
0,16,35,19,54,K,-5002#,596#,7889#,11#,#VALUE!,#VALUE!
,14,34,20,54,Ca,-25160.585,48.438,8247.496,0.897,53.972989,0.000052
,12,33,21,54,Sc,-33890.9,272.8,8394.681,5.052,53.96361662,0.000292862
,10,32,22,54,Ti,-45621.981,82.461,8597.435,1.527,53.95102279,0.000088526
,8,31,23,54,V,-49893.173,15.004,8662.043,0.278,53.94643747,0.000016107
,6,30,24,54,Cr,-56934.765,0.353,8777.955,0.007,53.93887801,0.000000378
,4,29,25,54,Mn,-55557.629,1.059,8737.965,0.02,53.94035643,0.000001136
,2,28,26,54,Fe,-56254.5,0.372,8736.382,0.007,53.93960831,0.000000399
,0,27,27,54,Co,-48009.953,0.383,8569.217,0.007,53.94845919,0.000000411
,-2,26,28,54,Ni,-39278.308,4.657,8393.032,0.086,53.957833,0.000005
,-4,25,29,54,Cu,-21410#,400#,8048#,7#,#VALUE!,#VALUE!
,-6,24,30,54,Zn,-6272#,400#,7753#,7#,#VALUE!,#VALUE!
0,17,36,19,55,K,708#,699#,7788#,13#,#VALUE!,#VALUE!
,15,35,20,55,Ca,-18350#,300#,8120#,5#,#VALUE!,#VALUE!
,13,34,21,55,Sc,-30159.352,454.342,8320.955,8.261,54.9676226,0.000487756
,11,33,22,55,Ti,-41668.088,161.602,8515.98,2.938,54.95526747,0.000173486
,9,32,23,55,V,-49144.586,95.104,8637.692,1.729,54.94724111,0.000102098
,7,31,24,55,Cr,-55109.71,0.399,8731.924,0.007,54.94083729,0.000000428
,5,30,25,55,Mn,-57712.413,0.303,8765.022,0.006,54.93804317,0.000000325
,3,29,26,55,Fe,-57481.3,0.342,8746.595,0.006,54.93829128,0.000000367
,1,28,27,55,Co,-54029.883,0.428,8669.618,0.008,54.94199653,0.000000459
,-1,27,28,55,Ni,-45335.849,0.719,8497.32,0.013,54.95132996,0.000000771
,-3,26,29,55,Cu,-31635.399,155.559,8233.996,2.828,54.966038,0.000167
,-5,25,30,55,Zn,-14570#,400#,7909#,7#,#VALUE!,#VALUE!
0,18,37,19,56,K,7927#,801#,7664#,14#,#VALUE!,#VALUE!
,16,36,20,56,Ca,-13898#,400#,8040#,7#,#VALUE!,#VALUE!
,14,35,21,56,Sc,-24852.26,586.841,8221.728,10.479,55.97332,0.00063
,12,34,22,56,Ti,-39320.048,121.247,8466.11,2.165,55.95778819,0.000130164
,10,33,23,56,V,-46154.881,176.898,8574.191,3.159,55.95045069,0.000189907
,8,32,24,56,Cr,-55285.001,0.603,8723.258,0.011,55.94064911,0.000000647
,6,31,25,56,Mn,-56911.538,0.331,8738.333,0.006,55.93890295,0.000000355
,4,30,26,56,Fe,-60607.082,0.302,8790.354,0.005,55.93493562,0.000000324
,2,29,27,56,Co,-56040.402,0.493,8694.836,0.009,55.93983815,0.000000529
,0,28,28,56,Ni,-53907.539,0.422,8642.779,0.008,55.94212787,0.000000452
,-2,27,29,56,Cu,-38643.029,14.904,8356.227,0.266,55.958515,0.000016
,-4,26,30,56,Zn,-25390#,400#,8106#,7#,#VALUE!,#VALUE!
,-6,25,31,56,Ga,-3390#,500#,7699#,9#,#VALUE!,#VALUE!
0,17,37,20,57,Ca,-6874#,400#,7917#,7#,#VALUE!,#VALUE!
,15,36,21,57,Sc,-20995.875,1304.092,8151.433,22.879,56.97746,0.0014
,13,35,22,57,Ti,-33915.633,256.417,8364.37,4.499,56.96359007,0.000275274
,11,34,23,57,V,-44413.45,80.479,8534.817,1.412,56.9523202,0.000086397
,9,33,24,57,Cr,-52524.702,1.068,8663.394,0.019,56.94361241,0.000001146
,7,32,25,57,Mn,-57486.251,1.505,8736.713,0.026,56.93828597,0.000001615
,5,31,26,57,Fe,-60181.839,0.304,8770.279,0.005,56.93539213,0.000000326
,3,30,27,57,Co,-59345.564,0.533,8741.882,0.009,56.93628991,0.000000572
,1,29,28,57,Ni,-56083.833,0.582,8670.933,0.01,56.93979153,0.000000624
,-1,28,29,57,Cu,-47308.886,0.519,8503.262,0.009,56.94921182,0.000000557
,-3,27,30,57,Zn,-32550#,200#,8231#,4#,#VALUE!,#VALUE!
,-5,26,31,57,Ga,-15010#,400#,7909#,7#,#VALUE!,#VALUE!
0,18,38,20,58,Ca,-1919#,500#,7835#,9#,#VALUE!,#VALUE!
,16,37,21,58,Sc,-14876#,400#,8045#,7#,#VALUE!,#VALUE!
,14,36,22,58,Ti,-31110#,200#,8311#,3#,#VALUE!,#VALUE!
,12,35,23,58,V,-40401.753,89.374,8457.658,1.541,57.95662693,0.000095947
,10,34,24,58,Cr,-51991.801,1.49,8643.998,0.026,57.9441845,0.0000016
,8,33,25,58,Mn,-55827.56,2.701,8696.643,0.047,57.94006665,0.0000029
,6,32,26,58,Fe,-62155.113,0.343,8792.25,0.006,57.93327374,0.000000368
,4,31,27,58,Co,-59847.158,1.16,8738.969,0.02,57.93575143,0.000001245
,2,30,28,58,Ni,-60228.744,0.373,8732.059,0.006,57.93534178,0.0000004
,0,29,29,58,Cu,-51667.725,0.578,8570.967,0.01,57.94453241,0.000000621
,-2,28,30,58,Zn,-42298.744,50.001,8395.944,0.862,57.95459043,0.000053678
,-4,27,31,58,Ga,-23540#,300#,8059#,5#,#VALUE!,#VALUE!
,-6,26,32,58,Ge,-7080#,500#,7762#,9#,#VALUE!,#VALUE!
0,17,38,21,59,Sc,-10302#,400#,7967#,7#,#VALUE!,#VALUE!
,15,37,22,59,Ti,-25510#,200#,8212#,3#,#VALUE!,#VALUE!
,13,36,23,59,V,-37832.015,161.874,8407.555,2.744,58.95938566,0.000173778
,11,35,24,59,Cr,-48085.76,216.367,8568.087,3.667,58.94837781,0.000232279
,9,34,25,59,Mn,-55525.32,2.329,8680.921,0.039,58.94039111,0.0000025
,7,33,26,59,Fe,-60664.805,0.355,8754.771,0.006,58.93487365,0.00000038
,5,32,27,59,Co,-62229.709,0.418,8768.035,0.007,58.93319366,0.000000448
,3,31,28,59,Ni,-61156.707,0.374,8736.588,0.006,58.93434557,0.000000402
,1,30,29,59,Cu,-56358.327,0.544,8642,0.009,58.93949684,0.000000584
,-1,29,30,59,Zn,-47215.551,0.771,8473.777,0.013,58.94931202,0.000000827
,-3,28,31,59,Ga,-33760#,170#,8232#,3#,#VALUE!,#VALUE!
,-5,27,32,59,Ge,-15870#,400#,7916#,7#,#VALUE!,#VALUE!
0,18,39,21,60,Sc,-4052#,500#,7865#,8#,#VALUE!,#VALUE!
,16,38,22,60,Ti,-22330#,300#,8157#,5#,#VALUE!,#VALUE!
,14,37,23,60,V,-33241.956,220.159,8325.45,3.669,59.96431329,0.00023635
,12,36,24,60,Cr,-46669.576,193.593,8536.205,3.227,59.94989815,0.00020783
,10,35,25,60,Mn,-52967.938,2.329,8628.138,0.039,59.94313658,0.0000025
,8,34,26,60,Fe,-61413.017,3.409,8755.851,0.057,59.93407041,0.000003659
,6,33,27,60,Co,-61650.309,0.424,8746.766,0.007,59.93381567,0.000000455
,4,32,28,60,Ni,-64473.118,0.376,8780.774,0.006,59.93078526,0.000000403
,2,31,29,60,Cu,-58345.137,1.618,8665.602,0.027,59.93736392,0.000001736
,0,30,30,60,Zn,-54174.34,0.564,8583.05,0.009,59.94184145,0.000000605
,-2,29,31,60,Ga,-39590#,200#,8327#,3#,#VALUE!,#VALUE!
,-4,28,32,60,Ge,-27090#,300#,8106#,5#,#VALUE!,#VALUE!
,-6,27,33,60,As,-5470#,400#,7732#,7#,#VALUE!,#VALUE!
0,19,40,21,61,Sc,931#,600#,7787#,10#,#VALUE!,#VALUE!
,17,39,22,61,Ti,-16350#,400#,8057#,7#,#VALUE!,#VALUE!
,15,38,23,61,V,-30506.429,894.234,8276.439,14.66,60.96725,0.00096
,13,37,24,61,Cr,-42475.229,101.341,8459.824,1.661,60.95440096,0.000108793
,11,36,25,61,Mn,-51742.122,2.329,8598.915,0.038,60.94445254,0.0000025
,9,35,26,61,Fe,-58920.494,2.608,8703.768,0.043,60.93674624,0.0000028
,7,34,27,61,Co,-62898.066,0.846,8756.148,0.014,60.93247615,0.000000908
,5,33,28,61,Ni,-64221.905,0.378,8765.025,0.006,60.93105495,0.000000405
,3,32,29,61,Cu,-61984.059,0.953,8715.514,0.016,60.93345737,0.000001023
,1,31,30,61,Zn,-56348.903,15.899,8610.309,0.261,60.93950696,0.000017068
,-1,30,31,61,Ga,-47134.659,37.994,8446.431,0.623,60.94939886,0.000040787
,-3,29,32,61,Ge,-33360#,300#,8208#,5#,#VALUE!,#VALUE!
,-5,28,33,61,As,-16900#,300#,7925#,5#,#VALUE!,#VALUE!
0,18,40,22,62,Ti,-12500#,400#,7995#,6#,#VALUE!,#VALUE!
,16,39,23,62,V,-25476#,298#,8192#,5#,#VALUE!,#VALUE!
,14,38,24,62,Cr,-40894.961,148.099,8428.069,2.389,61.95609745,0.000158991
,12,37,25,62,Mn,-48523.957,6.542,8538.499,0.106,61.94790739,0.000007023
,10,36,26,62,Fe,-58878.048,2.794,8692.882,0.045,61.93679181,0.000003
,8,35,27,62,Co,-61424.282,18.575,8721.332,0.3,61.93405832,0.00001994
,6,34,28,62,Ni,-66746.323,0.439,8794.553,0.007,61.92834487,0.00000047
,4,33,29,62,Cu,-62787.426,0.647,8718.081,0.01,61.93259492,0.000000694
,2,32,30,62,Zn,-61167.972,0.625,8679.343,0.01,61.93433348,0.00000067
,0,31,31,62,Ga,-51986.906,0.647,8518.642,0.01,61.94418976,0.000000694
,-2,30,32,62,Ge,-41740#,140#,8341#,2#,#VALUE!,#VALUE!
,-4,29,33,62,As,-24320#,300#,8047#,5#,#VALUE!,#VALUE!
0,19,41,22,63,Ti,-5750#,500#,7889#,8#,#VALUE!,#VALUE!
,17,40,23,63,V,-21890#,400#,8133#,6#,#VALUE!,#VALUE!
,15,39,24,63,Cr,-36007.474,358.073,8344.828,5.684,62.96134438,0.000384407
,13,38,25,63,Mn,-46887.053,3.726,8505.101,0.059,62.94966468,0.000004
,11,37,26,63,Fe,-55635.621,4.302,8631.549,0.068,62.9402727,0.000004618
,9,36,27,63,Co,-61851.44,18.575,8717.795,0.295,62.93359974,0.000019941
,7,35,28,63,Ni,-65512.775,0.44,8763.493,0.007,62.92966914,0.000000472
,5,34,29,63,Cu,-65579.752,0.44,8752.138,0.007,62.92959724,0.000000472
,3,33,30,63,Zn,-62213.397,1.561,8686.285,0.025,62.93321117,0.000001676
,1,32,31,63,Ga,-56547.093,1.304,8583.926,0.021,62.9392942,0.0000014
,-1,31,32,63,Ge,-46921.216,37.26,8418.716,0.591,62.949628,0.00004
,-3,30,33,63,As,-33500#,200#,8193#,3#,#VALUE!,#VALUE!
0,20,42,22,64,Ti,-1025#,600#,7818#,9#,#VALUE!,#VALUE!
,18,41,23,64,V,-16320#,400#,8045#,6#,#VALUE!,#VALUE!
,16,40,24,64,Cr,-33479.757,439.665,8301.058,6.87,63.964058,0.000472
,14,39,25,64,Mn,-42989.035,3.54,8437.417,0.055,63.95384937,0.0000038
,12,38,26,64,Fe,-54969.544,5.017,8612.388,0.078,63.94098776,0.000005386
,10,37,27,64,Co,-59792.329,20.006,8675.52,0.313,63.93581029,0.000021476
,8,36,28,64,Ni,-67098.921,0.475,8777.461,0.007,63.92796634,0.00000051
,6,35,29,64,Cu,-65424.545,0.448,8739.075,0.007,63.92976386,0.000000481
,4,34,30,64,Zn,-66004.014,0.647,8735.905,0.01,63.92914177,0.000000694
,2,33,31,64,Ga,-58832.821,1.429,8611.631,0.022,63.93684037,0.000001533
,0,32,32,64,Ge,-54315.496,3.726,8528.823,0.058,63.94168991,0.000004
,-2,31,33,64,As,-39532#,203#,8286#,3#,#VALUE!,#VALUE!
,-4,30,34,64,Se,-26700#,503#,8073#,8#,#VALUE!,#VALUE!
0,19,42,23,65,V,-11780#,500#,7976#,8#,#VALUE!,#VALUE!
,17,41,24,65,Cr,-28220#,300#,8217#,5#,#VALUE!,#VALUE!
,15,40,25,65,Mn,-40967.339,3.726,8400.681,0.057,64.95601975,0.000004
,13,39,26,65,Fe,-51217.895,5.112,8546.346,0.079,64.94501532,0.000005487
,11,38,27,65,Co,-59185.198,2.083,8656.884,0.032,64.93646207,0.000002235
,9,37,28,65,Ni,-65125.685,0.495,8736.24,0.008,64.9300847,0.000000531
,7,36,29,65,Cu,-67263.66,0.65,8757.096,0.01,64.92778949,0.000000697
,5,35,30,65,Zn,-65912.019,0.65,8724.265,0.01,64.92924053,0.000000697
,3,34,31,65,Ga,-62657.507,0.815,8662.16,0.013,64.9327344,0.000000874
,1,33,32,65,Ge,-56478.216,2.165,8555.058,0.033,64.93936814,0.000002323
,-1,32,33,65,As,-46937.051,84.766,8396.234,1.304,64.949611,0.000091
,-3,31,34,65,Se,-33020#,300#,8170#,5#,#VALUE!,#VALUE!
0,20,43,23,66,V,-5610#,500#,7884#,8#,#VALUE!,#VALUE!
,18,42,24,66,Cr,-24720#,400#,8161#,6#,#VALUE!,#VALUE!
,16,41,25,66,Mn,-36750.387,11.178,8331.798,0.169,65.96054683,0.000012
,14,40,26,66,Fe,-50067.839,4.099,8521.724,0.062,65.94624996,0.0000044
,12,39,27,66,Co,-56408.533,13.972,8605.941,0.212,65.93944295,0.000015
,10,38,28,66,Ni,-66006.285,1.397,8739.508,0.021,65.92913933,0.0000015
,8,37,29,66,Cu,-66258.272,0.655,8731.472,0.01,65.92886881,0.000000703
,6,36,30,66,Zn,-68899.16,0.749,8759.632,0.011,65.9260337,0.000000804
,4,35,31,66,Ga,-63723.66,1.096,8669.361,0.017,65.93158983,0.000001176
,2,34,32,66,Ge,-61607.032,2.401,8625.437,0.036,65.93386213,0.000002577
,0,33,33,66,As,-52025.077,5.682,8468.403,0.086,65.94414878,0.0000061
,-2,32,34,66,Se,-41660#,200#,8300#,3#,#VALUE!,#VALUE!
0,21,44,23,67,V,-650#,600#,7812#,9#,#VALUE!,#VALUE!
,19,43,24,67,Cr,-18680#,400#,8070#,6#,#VALUE!,#VALUE!
,17,42,25,67,Mn,-33460#,300#,8279#,4#,#VALUE!,#VALUE!
,15,41,26,67,Fe,-45610.155,270.285,8448.469,4.034,66.95103548,0.000290163
,13,40,27,67,Co,-55321.775,6.443,8581.741,0.096,66.94060963,0.000006917
,11,39,28,67,Ni,-63742.68,2.888,8695.75,0.043,66.93156941,0.0000031
,9,38,29,67,Cu,-67319.513,0.894,8737.458,0.013,66.92772953,0.000000959
,7,37,30,67,Zn,-67880.313,0.76,8734.152,0.011,66.92712748,0.000000815
,5,36,31,67,Ga,-66879.048,1.181,8707.531,0.018,66.92820238,0.000001268
,3,35,32,67,Ge,-62658.23,4.661,8632.857,0.07,66.93273362,0.000005003
,1,34,33,67,As,-56587.225,0.443,8530.568,0.007,66.93925111,0.000000475
,-1,33,34,67,Se,-46580.289,67.068,8369.534,1.001,66.949994,0.000072
,-3,32,35,67,Br,-32790#,400#,8152#,6#,#VALUE!,#VALUE!
0,20,44,24,68,Cr,-14800#,500#,8013#,7#,#VALUE!,#VALUE!
,18,43,25,68,Mn,-28380#,400#,8201#,6#,#VALUE!,#VALUE!
,16,42,26,68,Fe,-43486.914,365.259,8411.698,5.371,67.95331488,0.000392121
,14,41,27,68,Co,-51930.665,189.497,8524.366,2.787,67.94425014,0.000203433
,12,40,28,68,Ni,-63463.814,2.981,8682.466,0.044,67.93186879,0.0000032
,10,39,29,68,Cu,-65567.035,1.584,8701.89,0.023,67.92961089,0.0000017
,8,38,30,68,Zn,-70007.092,0.784,8755.68,0.012,67.92484429,0.000000841
,6,37,31,68,Ga,-67085.992,1.433,8701.218,0.021,67.92798022,0.000001538
